trim_frames,head,overall,RealVideo-FakeAudio,FakeVideo-RealAudio,FakeVideo-FakeAudio
0,causal,0.8417703619909502,1.0,0.6543889578163772,0.99870888828486
0,spurious,0.3309177036199095,0.5946745562130178,0.4074906947890819,0.2516988312041316
1,causal,0.7538532239819005,0.9704142011834319,0.6498138957816376,0.8350774667029084
1,spurious,0.32794824660633487,0.5917159763313609,0.40795595533498763,0.2457189453655885
3,causal,0.7478789592760181,0.9733727810650887,0.6571029776674938,0.8170698559391139
3,spurious,0.3275593891402715,0.5917159763313609,0.40826612903225806,0.24469964664310956
5,causal,0.7449802036199095,0.9733727810650887,0.6533033498759305,0.8148273987496601
5,spurious,0.329150169683258,0.591715976331361,0.4097394540942928,0.2464664310954064
10,causal,0.7433540723981901,0.9733727810650887,0.6546991315136477,0.8104783908670834
10,spurious,0.33102375565610864,0.591715976331361,0.410514888337469,0.24938842076651266
