trim_frames,head,overall,RealVideo-FakeAudio,FakeVideo-RealAudio,FakeVideo-FakeAudio
0,causal,0.7426824095022625,1.0,0.43625930521091805,0.9993884207665127
0,spurious,0.37114677601809953,0.5414201183431953,0.47014578163771714,0.2765697200326176
1,causal,0.6486496040723981,0.9911242603550295,0.43439826302729523,0.8206713780918728
1,spurious,0.3711467760180996,0.5428994082840237,0.47037841191067004,0.2762979070399565
3,causal,0.6476244343891402,0.9911242603550295,0.43463089330024807,0.8184968741505845
3,spurious,0.3702983597285068,0.5414201183431953,0.4696029776674938,0.2754145148138081
5,causal,0.6461750565610859,0.9911242603550295,0.4345533498759306,0.8157787442239739
5,spurious,0.3695559954751131,0.5399408284023669,0.46913771712158814,0.27446316933949444
10,causal,0.6514423076923077,0.9763313609467457,0.44641749379652607,0.8161864637129655
10,spurious,0.37089932126696834,0.5399408284023668,0.4701457816377172,0.276162000543626
