trim_frames,head,overall,RealVideo-FakeAudio,FakeVideo-RealAudio,FakeVideo-FakeAudio
0,causal,0.9331872171945702,1.0,0.8587158808933002,0.9953791791247621
0,spurious,0.2928803733031674,0.4571005917159763,0.400977047146402,0.19060886110356073
1,causal,0.8457649886877827,0.5059171597633135,0.8581730769230769,0.8505028540364229
1,spurious,0.29341063348416285,0.4571005917159763,0.4014423076923077,0.19122044033704813
3,causal,0.8445984162895929,0.48372781065088755,0.8577078163771712,0.8496874150584399
3,spurious,0.29358738687782804,0.4571005917159763,0.4012096774193548,0.1917640663223702
5,causal,0.8433964932126696,0.47928994082840237,0.8570874689826303,0.8481244903506387
5,spurious,0.29411764705882354,0.45857988165680474,0.4017524813895782,0.19223973905952704
10,causal,0.8410986990950227,0.47041420118343197,0.8577853598014888,0.8435036694754009
10,spurious,0.2939055429864253,0.45857988165680474,0.4010545905707196,0.19244359880402284
