trim_frames,head,overall,RealVideo-FakeAudio,FakeVideo-RealAudio,FakeVideo-FakeAudio
0,causal,0.8308823529411766,1.0,0.6291098014888337,0.9999320467518348
0,spurious,0.41978930995475117,0.5177514792899408,0.5122518610421837,0.33426202772492525
1,causal,0.8034855769230769,0.9955621301775148,0.6479528535980148,0.9309594998640935
1,spurious,0.4156179298642534,0.5059171597633135,0.512174317617866,0.32685512367491165
3,causal,0.8075509049773755,0.9970414201183433,0.6655552109181142,0.9232807828214189
3,spurious,0.41565328054298645,0.5044378698224853,0.5119416873449132,0.327194889915738
5,causal,0.8059601244343891,0.9970414201183433,0.6650124069478909,0.920698559391139
5,spurious,0.4162188914027149,0.507396449704142,0.5120967741935484,0.3280103288937211
10,causal,0.8049703054298641,0.9955621301775148,0.6626861042183624,0.9209024191356346
10,spurious,0.4178096719457014,0.5088757396449703,0.5134150124069479,0.32984506659418317
