experiment,output_dir,status,n_metrics_files,n_eval_files,n_ckpt_files,max_epoch,max_step,best_val_auc_causal,best_val_auc_full,best_val_auc_spurious,best_val_auc_spurious_linear,last_train_loss,last_train_loss_task,last_train_loss_cls,last_train_loss_adv,last_train_loss_domain,last_train_loss_ladv,last_train_loss_vae,best_metrics_file,best_ckpt_by_name,best_ckpt_val_auc_causal_by_name,eval_paths,metrics_paths
outputs_A34_e2e,outputs_A34_e2e,train_only,1,0,2,17,36503,0.9999978542327881,,,,0.4289717674255371,1.2110720490454696e-05,,,,,,outputs_A34_e2e/logs/version_0/metrics.csv,outputs_A34_e2e/ckpts/model-epoch=07-val_auc_causal=1.0000.ckpt,1.0,,outputs_A34_e2e/logs/version_0/metrics.csv
outputs_A34_v2_e2e,outputs_A34_v2_e2e,train_only,1,0,2,13,52401,0.9999877214431763,,,,0.5002701878547668,0.00018474285025149584,,,,,,outputs_A34_v2_e2e/logs/version_0/metrics.csv,outputs_A34_v2_e2e/ckpts/model-epoch=03-val_auc_causal=1.0000.ckpt,1.0,,outputs_A34_v2_e2e/logs/version_0/metrics.csv
outputs_A36_e2e,outputs_A36_e2e,train_only,1,0,2,0,4039,0.9996724724769592,,,,0.43718841671943665,0.07781477272510529,,,,,,outputs_A36_e2e/logs/version_0/metrics.csv,outputs_A36_e2e/ckpts/model-epoch=00-val_auc_causal=0.9997.ckpt,0.9997,,outputs_A36_e2e/logs/version_0/metrics.csv
outputs_A38_e2e,outputs_A38_e2e,train_only,1,0,0,0,2027,0.9993236064910889,,,,0.06477541476488113,0.05040684714913368,,,,,,outputs_A38_e2e/logs/version_0/metrics.csv,,,,outputs_A38_e2e/logs/version_0/metrics.csv
outputs_A39_e2e,outputs_A39_e2e,train_only,2,0,2,16,63229,0.9999951720237732,,,,1.4543433280778117e-05,1.2308279110584408e-05,,,,,,outputs_A39_e2e/logs/version_1/metrics.csv,outputs_A39_e2e/ckpts/model-epoch=06-val_auc_causal=1.0000.ckpt,1.0,,outputs_A39_e2e/logs/version_0/metrics.csv;outputs_A39_e2e/logs/version_1/metrics.csv
outputs_A4,outputs_A4,train_only,4,0,1,23,191999,0.9959838390350342,0.9959838390350342,0.5096059441566467,,0.2918648421764374,,0.09715555608272552,2.586376190185547,0.0,,0.1869061440229416,outputs_A4/logs/lightning_logs/version_1/metrics.csv,,,,outputs_A4/logs/lightning_logs/version_0/metrics.csv;outputs_A4/logs/lightning_logs/version_1/metrics.csv;outputs_A4/logs/lightning_logs/version_2/metrics.csv;outputs_A4/logs/lightning_logs/version_3/metrics.csv
outputs_A5,outputs_A5,train+eval,1,2,1,41,335999,0.998345136642456,0.998345136642456,0.5148398876190186,,0.03352323919534683,0.00019652978517115116,,,,,,outputs_A5/logs/lightning_logs/version_0/metrics.csv,,,outputs_A5/results/eval_results.txt;outputs_A5/results/trimmed/eval_results.txt,outputs_A5/logs/lightning_logs/version_0/metrics.csv
outputs_A6,outputs_A6,train+eval,1,2,1,22,184206,0.9982280135154724,0.9982280135154724,0.5341434478759766,,0.13884110748767853,0.0071029034443199635,,,,,,outputs_A6/logs/lightning_logs/version_0/metrics.csv,,,outputs_A6/results/eval_results.txt;outputs_A6/results/trimmed/eval_results.txt,outputs_A6/logs/lightning_logs/version_0/metrics.csv
outputs_A6_e2e,outputs_A6_e2e,train_only,2,0,4,21,44615,0.9999904036521912,,,,0.44424182176589966,0.0007366517675109208,,,,,,outputs_A6_e2e/logs/version_2/metrics.csv,outputs_A6_e2e/ckpts/model-epoch=11-val_auc_causal=1.0000.ckpt,1.0,,outputs_A6_e2e/logs/version_1/metrics.csv;outputs_A6_e2e/logs/version_2/metrics.csv
outputs_A7,outputs_A7,train+eval,1,2,1,99,800899,0.9988186955451965,0.9988186955451965,0.5157193541526794,,1.1783589124679565,0.002222940092906356,,,,0.5585620403289795,,outputs_A7/logs/lightning_logs/version_0/metrics.csv,,,outputs_A7/results/eval_results.txt;outputs_A7/results/trimmed/eval_results.txt,outputs_A7/logs/lightning_logs/version_0/metrics.csv
