trim_frames,head,overall,RealVideo-FakeAudio,FakeVideo-RealAudio,FakeVideo-FakeAudio
0,causal,0.7927389705882353,1.0,0.5515663771712158,0.994563740146779
0,spurious,0.37012160633484165,0.5428994082840237,0.4709987593052109,0.2737836368578418
1,causal,0.6007494343891403,0.8402366863905326,0.5586228287841192,0.6266648545800488
1,spurious,0.37185378959276016,0.5488165680473372,0.4705334987593052,0.2772492525142702
3,causal,0.5937499999999999,0.8417159763313609,0.5585452853598016,0.6132101114433269
3,spurious,0.37150028280542985,0.5502958579881657,0.4705334987593052,0.27650176678445226
5,causal,0.5926541289592759,0.8520710059171598,0.553970223325062,0.6146371296547976
5,spurious,0.3729496606334841,0.5488165680473372,0.47146401985111663,0.27854036422941014
10,causal,0.5897907239819005,0.82396449704142,0.5533498759305211,0.6109676542538733
10,spurious,0.3756716628959276,0.5502958579881657,0.47371277915632753,0.28173416689317743
