trim_frames,head,overall,RealVideo-FakeAudio,FakeVideo-RealAudio,FakeVideo-FakeAudio
0,causal,0.794718608597285,1.0,0.5504032258064515,0.9993884207665127
0,spurious,0.3172723416289593,0.45710059171597633,0.4150899503722084,0.22512911117151396
1,causal,0.6772836538461539,0.9334319526627218,0.545052729528536,0.7813944006523512
1,spurious,0.31691883484162897,0.4556213017751479,0.4144696029776675,0.22506115792334871
3,causal,0.6926258484162895,0.9467455621301775,0.5611042183622829,0.7962082087523784
3,spurious,0.31652997737556554,0.4556213017751479,0.4142369727047146,0.22451753193802662
5,causal,0.6949943438914027,0.9467455621301775,0.5654466501240695,0.7969556944821962
5,spurious,0.3170955882352941,0.45857988165680474,0.4150124069478909,0.2247893449306877
10,causal,0.7032310520361991,0.9349112426035503,0.5883219602977667,0.7932862190812721
10,spurious,0.3178379524886878,0.4600591715976331,0.4158653846153846,0.22540092416417506
