trim_frames,head,overall,RealVideo-FakeAudio,FakeVideo-RealAudio,FakeVideo-FakeAudio
0,causal,0.888468608597285,1.0,0.7568238213399504,0.99870888828486
0,spurious,0.3666925904977375,0.5650887573964497,0.43432071960297763,0.29831475944550145
1,causal,0.7584841628959277,0.8062130177514794,0.7539547146401985,0.7602609404729546
1,spurious,0.3670460972850679,0.5680473372781065,0.43439826302729523,0.2987904321826583
3,causal,0.7628322963800905,0.834319526627219,0.7603132754342432,0.7617559119325904
3,spurious,0.3663390837104072,0.5650887573964497,0.43470843672456577,0.29729546072302254
5,causal,0.7649179864253394,0.8372781065088758,0.7620192307692307,0.7641342756183747
5,spurious,0.3655260180995475,0.5621301775147929,0.4353287841191067,0.29532481652622994
10,causal,0.7623727375565611,0.8372781065088758,0.7637251861042182,0.7577466702908398
10,spurious,0.36414734162895923,0.5591715976331362,0.4347859801488833,0.29328621908127206
