trim_frames,head,overall,RealVideo-FakeAudio,FakeVideo-RealAudio,FakeVideo-FakeAudio
0,causal,0.8431490384615385,1.0,0.6571805210918115,0.9989127480293558
0,spurious,0.30716204751131215,0.4881656804733728,0.41943238213399503,0.20046208208752378
1,causal,0.7301682692307692,0.9349112426035503,0.6063895781637717,0.8292334873606959
1,spurious,0.3070913461538462,0.48668639053254437,0.41927729528535984,0.20053003533568903
3,causal,0.7139423076923077,0.9349112426035503,0.5954559553349876,0.8076243544441424
3,spurious,0.3076216063348416,0.48668639053254437,0.4202078163771712,0.20073389508018485
5,causal,0.7072610294117647,0.9349112426035503,0.5908808933002482,0.7987904321826582
5,spurious,0.30839932126696834,0.48816568047337283,0.42044044665012403,0.20195705354715954
10,causal,0.713164592760181,0.9053254437869822,0.6061569478908189,0.7981108997010056
10,spurious,0.30981334841628966,0.49112426035502954,0.4197425558312655,0.20515085621092688
