trim_frames,head,overall,RealVideo-FakeAudio,FakeVideo-RealAudio,FakeVideo-FakeAudio
0,causal,0.7942944004524888,1.0,0.5491625310173697,0.9996602337591738
0,spurious,0.27315469457013575,0.5221893491124261,0.35142679900744417,0.19312313128567543
1,causal,0.650523190045249,0.9718934911242603,0.47425558312655086,0.7902283229138352
1,spurious,0.2726244343891403,0.5221893491124261,0.3515818858560794,0.191967926066866
3,causal,0.6457861990950226,0.9763313609467454,0.48193238213399503,0.7741913563468334
3,spurious,0.2721295248868778,0.5162721893491125,0.35212468982630274,0.19081272084805656
5,causal,0.6226668552036199,0.9674556213017752,0.453939205955335,0.7546887741234032
5,spurious,0.27184671945701355,0.5192307692307693,0.3523573200992556,0.18992932862190814
10,causal,0.6272977941176471,0.9674556213017752,0.4671991315136477,0.7519706441967927
10,spurious,0.2707861990950226,0.5118343195266272,0.35196960297766744,0.18857026365860285
