trim_frames,head,overall,RealVideo-FakeAudio,FakeVideo-RealAudio,FakeVideo-FakeAudio
0,causal,0.9522765837104072,1.0,0.8970223325062033,0.9985050285403643
0,spurious,0.33530118778280543,0.5073964497041421,0.42447270471464027,0.24925251427018214
1,causal,0.9263291855203619,0.918639053254438,0.895704094292804,0.9535199782549606
1,spurious,0.33526583710407243,0.5059171597633136,0.4244727047146402,0.24925251427018214
3,causal,0.925233314479638,0.9112426035502958,0.8955490074441688,0.9518891002989942
3,spurious,0.33523048642533937,0.5059171597633136,0.42439516129032256,0.2492525142701821
5,causal,0.9244202488687784,0.9127218934911243,0.8952388337468982,0.9505300353356889
5,spurious,0.3346295248868778,0.5044378698224853,0.42392990074441683,0.2485729817885295
10,causal,0.9227941176470588,0.903846153846154,0.8937655086848634,0.9491030171242185
10,spurious,0.3336043552036199,0.5029585798816567,0.42330955334987597,0.2472139168252242
